22
#n byc i intencja komorowski morderca na on oraz pamiec panie pomnik premiera prezydent przed sie uczcic udzial wies wziac z za zginac
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 154
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 Antoni
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 Blasik
0.0 0.1 0.3 1.0 0.0 0.0 0.0 0.0 0.3 0.0 0.0 0.0 0.5 0.0 0.0 0.4 0.5 0.4 0.0 0.4 0.0 0.0 Bronislaw
0.0 0.0 0.0 0.0 0.0 0.0 0.5 0.0 0.0 0.0 0.0 0.8333333333333334 0.0 0.0 0.0 0.0 1.0 0.5 0.8333333333333334 0.8333333333333334 0.0 0.0 Donald
0.4444444444444444 1.0 0.2222222222222222 0.2222222222222222 0.0 0.0 0.4444444444444444 0.5555555555555556 0.4444444444444444 0.0 0.0 0.0 0.2222222222222222 0.6666666666666666 0.0 0.3333333333333333 0.0 0.1111111111111111 0.0 0.0 0.0 0.4444444444444444 Kaczynski
0.0 0.3333333333333333 0.4444444444444444 0.0 0.0 0.2222222222222222 0.0 0.0 0.4444444444444444 0.0 0.0 0.0 1.0 0.0 0.0 0.5555555555555556 0.4444444444444444 0.8888888888888888 0.0 0.3333333333333333 0.0 0.0 Komorowski
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 Krauze
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 Macierewicz
0.0 1.0 0.0 0.0 0.5 0.0 0.4 0.5 0.0 0.5 0.0 0.0 0.5 0.0 0.5 0.0 0.0 0.2 0.0 0.4 0.5 0.0 Putin
0.10526315789473684 1.0 0.0 0.0 0.15789473684210525 0.42105263157894735 0.15789473684210525 0.2631578947368421 0.0 0.21052631578947367 0.15789473684210525 0.15789473684210525 0.42105263157894735 0.10526315789473684 0.47368421052631576 0.0 0.05263157894736842 0.7894736842105263 0.10526315789473684 0.21052631578947367 0.3157894736842105 0.0 Smolensk
0.0 0.0 0.0 0.0 0.0 0.0 0.3333333333333333 0.0 0.0 0.0 0.0 0.6666666666666666 0.0 0.0 0.0 0.0 1.0 0.5 0.8333333333333334 0.6666666666666666 0.0 0.0 Tusk
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 analiza
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 blad
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 bomba
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 brzoza
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 dym
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ekspert
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 film
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 general
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 hanba
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 identyfikacja
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 kabina
0.6666666666666666 0.25 0.0 0.0 0.0 0.3333333333333333 0.0 0.4166666666666667 0.0 0.0 0.4166666666666667 0.16666666666666666 0.5 0.25 0.25 0.0 0.0 1.0 0.08333333333333333 0.75 0.0 0.3333333333333333 katastrofa
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 klamstwo
