correct_catastrophy, neutral_from_wiki, correct_assasination, neutral_from_wiki, 
correct_catastrophy, 0.000000, 11558.983713, 10364.488401, 11558.983713, 
neutral_from_wiki, 11558.983713, 0.000000, 11906.387626, 0.000000, 
correct_assasination, 10364.488401, 11906.387626, 0.000000, 11906.387626, 
neutral_from_wiki, 11558.983713, 0.000000, 11906.387626, 0.000000, 
